text	category
 Lucifer kandu. Eny Ethu. Kananam.. Ohhhh.	Positive 
 Lalettan fans full support und makkaleee......	Positive 
 Keralathinu purathu ninnulla anyaphashakar adi like	unknown_state 
 All Kerala mohanlal fans nte power onnu kanichu kodukk.....like ..	unknown_state 
 Adhikam hype venda	Negative 
 Ithu kidukkum	Positive 
 am a lalettan fan... but lalettane arum pokendaa... director prithviannuu	unknown_state 
 4.3k dislikes what a bullshit man's	not-malayalam 
 Padam 1 st day kaanum athu urappu.	Positive 
 masss effect	Positive 
 من متى أعرفك اصلا حتى انساك	not-malayalam 
 Arudeyum kaneer oppan vannadhalla njn... !! Pakshe karayikunnavarude thala njn adichu pwolikkum🤙 full on full power	Positive 
 Again Again Rajuvettan Theertha Ee vismayam kanaan vanne nokkunavarundoo...	Positive 
 Costumes Irshad khan Cherukunnuijj Poli mutheeee	Positive 
 Ithenkilum oru HIT enkilum aayaal mathi.padachone adutha PADAKKAM aavalle	Mixed_feelings 
 aaa last bhakam marana mass #mammookka	Positive 
 Happy  Birthday  Mammookka	not-malayalam 
 mammokka thug life mashup	unknown_state 
 Big B 2 pole und	Mixed_feelings 
 LALETTAAA MUTHEE POLICHU	Positive 
 Ee pennu evide poyaalum ithaanallo avastha..	unknown_state 
 Edhu kondu prethiraj neruthiyal Kollam	Positive 
 Ithipo kadha muzhuvan undalo ithilu ? ?	unknown_state 
 Mammotiyude look divasam kudunthorum kodi varikayannallo	Positive 
 Last black dress sredhichavar ivide like	unknown_state 
 Natural venam polum side lottu maarinikke anganullavar korach mass okke nallaatha	Negative 
 Padam pottum ennu urapulavarku evide like adikam	unknown_state 
 malayala sinimakkoru puthiya charithram pirakkatte !	Positive 
 Koora padam	Negative 
 Superb trailer I have ever seen	not-malayalam 
 3 millon views 208 k likes	not-malayalam 
 Ennalum ente Idivettu suguna ninne ithilu kandillalo	Negative 
 Which trailer you like more.  1. #Mamangam  2. #Panipat	not-malayalam 
 1.33 - 1.40   mammuka rock's 🤘...	not-malayalam 
 Oru  mikacha thriling movie aavum	Positive 
 Undakku shesham mammookayude adutha natural movie	Positive 
 Jayasurya chyuna a ella characters um pwoliya... Shaji pappen	Positive 
 Mammukka ningal bharikkanam Malayalam Cinema iniyulla kalavum	Positive 
 apol ithu payyanmare padam aano rajuettan ikka onnum main ayittu ille ??	unknown_state 
 Ende ammo aa mundu madakki vechulla aa chavitt !!! . laletta.	Positive 
 YouTube struck ayoooo Views 172 k Like 162k Unlike 15k Laletaaaa	unknown_state 
 K G F   DUBLE	not-malayalam 
 Trailer I'll tannaayy full story uondu	Positive 
 Oru BIGB  feel....  ..aiivaaaaa.  Pwolichuu	Positive 
