text	category
 Vijay -vera vera vera vetakaran taan da venumm Ajith- nerya nerya nerya nerya ....nerya	Positive 
 Thala pathi thappaa cmnt panura kuchikari movanlaam odirunga	Negative 
 Dislike panavan oruthanuku poruthuruka maatan poogada ****************	Positive 
 Dei kadisiya style dance ah parunga da... Ayyo sema... Thalaiva cuteness charisma fight sequel banged comeback...	Positive 
 Darbat 50K COMMENT VARANUM 800K LIKE VARANUM VIEW 40 MILLION VARANUM	unknown_state 
 Shaktiman madri next comedy punda aga poren sakadai kelavan	Negative 
 Thalaya screen LA parka Yarellam Marana waiting comment pannunga thala rathangale ‍‍‍‍‍‍‍	Positive 
 Vada Chennai - jaygiromo illayo motha sanda seiyanum Asuran - namaku theva yanatha nambha tha adichi vanganum	Positive 
 Wow trailer marana waiting Diwali ku	unknown_state 
 Entha trailer best nu Pakalam  Like : Asuran   Cmnt: Kaapan	Positive 
 Comments parka vandha padika vandha nanba nanbigal like pannitu pooga	Positive 
 Thala thaan eppavume ennudaya role maadal	Positive 
 @0.38 it's SuperStar Rajini not Rajni... Spelling mistake !!	Positive 
 Remake of pink movie ah... Apdiye eduthurukeenga... Oru dialogue kooda maarama... But fight scene extra va...	Positive 
 Neraya neraya neraya atha yarkanave nerachi poitha iruku inum yathuku kaekura iva mutta  punda	Negative 
 Eduthu vainga Da adutha Oscar ah ASURAN Ku.	Positive 
 I miss you ishwarya rai madam	Mixed_feelings 
 Mass  Dhanush  manju  vetri	Positive 
 Thalaivaaaaaaa.......  Ungaluku vayase aaakathu. Nee mattum thaa Thlaiva mass. Massuke Boss.	Positive 
 THALA 6O ku aavathu atleast pre announcement pannunga	Positive 
 Aptilam nadakkathu nadakka kudathu fire on eyes thala	Positive 
 Amam eppa puthu trailer poduvingo. .. 1960 mgr kala thu padama. .. Re release panna poran gala. ..	Negative 
 Oruthar mela viswasam kaatradhukaga aduthavangala edhuku asinga paduthuringa...sema thala....love from thalapathy fanzzzzz	Positive 
 Entha padathalaum vivazya pirachana solraga pola oh my God	unknown_state 
 Kaithi ye evlo mass ah iruku na  Thalapathy 64?	Positive 
 adra sakka... thalaivaa ... marana mass.. adi thool.... Petta Pongal...... Petta Parrakk.....	Mixed_feelings 
 Maranam Mass Uh maranam Tough Tharanum Athukku Avan Thaaan poranthu Varanum	Positive 
 1:55 for some #THALA & #THALAPATHY fans	Positive 
 Please make thalapathy 64 like kaithi visuals	Positive 
 Nothing to say ....just goosebumps #thalarasigai	Positive 
 Mass mass nu soli pavam fight ill lathe padathu la kuda fight varawaychitaga....	Positive 
 1:38 to 1:50 yenna swag pa thala. Thala pola varuma ? FDFS from Karnataka.	Positive 
 Enada tamil cinema eduka sonna Hollywood cinema eduthu vachirkinga	Positive 
 Saavaratha irunthalum sanda pottu saaganum, bayanthu kaalla vizhunthu saaga kudathu. #Tharam	Positive 
 మొబైల్స్ మాత్రమే అలా హఠాత్తుగా మాయం అవడం ప్రేక్షకుల మనసులోకి నొప్పేలా లేదు.ఈ విషయంలో మెస్మరైజ్ మిస్సయ్యింది.	not-Tamil 
 Sethu anna Voice  Thalaivar Entry   Kolla Gaandu la irukan Epo varum oh nu	Positive 
 Marana mass thalaiva   Ungalukku innu vayasu agale	Positive 
 Intha padam kantippa win pannum but rajinikaga illa Shankar kaga  avaroda talent kaga ...	Positive 
 Oru oru scenum goosebumps ahh iruku petta parak🤘🤘like podunga trailer pathu goosebumps anuvanga	Positive 
 Vijaya vallu movies teesthunnaraa inkaa wow	unknown_state 
 #NerKondaPaarvai superb Thala pesura yella dialogues kum avar kan simtave ella vera level acting	Positive 
 petta movie atta flop old man sotta boy	Negative 
 Ena Da bomma Padam eduthu vachirukeenga	Mixed_feelings 
 Semma vera level . Like hits	Positive 
 pink movie in hindi .final dialouge superrrr.	Positive 
 chinna pulla thanamaala irukku graphics! XD XD	Positive 
 Rajini sir telugu fans hit a like here ? Rajinified	Positive 
 O my God superstar Rajinikanth, navajuddin siddiki, vijay setupati , what else needed	Positive 
 Marvel paruppu thanni+DC uppu+tamil masala + kick kadugu + krissh vengayam thakkali = hero sambar	Positive 
 Bayama irukku I except more but I feel sad :(	Positive 
 Sethupathi kaga wait panravangalam Kai thoongunga	unknown_state 
 TAMIL MOVIE 2.O  KING IN INDIA   WONDER  SUPER STAR AN  SANKAR'S MASS MOVIE	Positive 
 1st day 1st show poravanga like potuttu ponga	Positive 
 Sprb shradha srinath done a good job	Positive 
 Ennoda phone ah yaaralum control panna mudiyadhu... Akshay Kumar ah tension aayiduvan idhu hang aguradha paathu...	Mixed_feelings 
 Rajini kanth. Fans hit like here	Positive 
 Kola gaadula iruka... Thalaivaaaaaaaa waiting layea veri aaguthey	Negative 
 Get... Ready..sk. Force.. Part 2. Part 3. Varavaipomaaaaaa...	Negative 
 Omg .. use head phones Enna bgm da saami ..	Positive 
 Petta  uthikum visvasam hit agum	Mixed_feelings 
 ENPT release agalanu kavala illa aurathanamana Asuran varuthu adhu pothum...	Positive 
 Those VFX Nalla illa daaaw guys.. Idhu trailer dhaan maa Main picture is coming  #2.0 #Marana_Mass	Mixed_feelings 
 vera level thala  u r rock	Positive 
 Lokesh kanagaraj movie naalae.... English Rap....Song vandurum	Negative 
 What a trailer ya vera level la iruku...yow karthi subburaj pinnida ya awesome awesome	Positive 
 Thalada all India  Thala kottai	Positive 
 Indha Kalatholo Siva Karthikeyan Nadike Mudiyadhu	Mixed_feelings 
 Evano indha video ku dislike button amuka vandhurundha odiru 🤣 kolaa kaandu la irukan kollama vida matan	Negative 
 Mujhe kuch samajh sirf VFX tu achh hai hai Lekin utna dam nahi jitna zero ka trailer me hai	Mixed_feelings 
 Title card bgm vara level nu soluravuga like pl	Positive 
 Rijini sir nadichirukaru Rompa nalaiku piragu.. sema treatuuuuu	Positive 
 Thala nkp kaga wait panravan like panunga	Mixed_feelings 
 Climax la judge kathiyeh heart attack shethuduvaaraah	Positive 
 Samajh mai kuch  nahii aaya bas ajeet sir k liye poora trailer dekha	not-Tamil 
 Mokka palaya film sayal niraya irukku....	Negative 
 Mokka ah irukkum nu confirn pannittenga	Positive 
 12hours 5m view s  600k like s NKP	Positive 
 Thala   U1  Bgm	Positive 
 Surya thambi karthi poii karthi oda anna tha surya airuchuu	Positive 
 Now you are lying lying lying. Thala mass	Positive 
 Namaku thevayanathu nammatha adichi vaanganum...  masssssssss	Positive 
 Deepawali kala katta pothu, bigil, kaithi, sanga thamizhan	Positive 
 Common thala fans 1m likes varanum	Positive 
 Yeppo million like aagum nu pakka wait pannittu irruka .	Positive 
 That Bike is a Modified Duke 200	Positive 
 Last dialogue semma...🥰🥰 Thala Tucker doi...	Positive 
 Abhay deol	Mixed_feelings 
 thala veriyans. Maddum oru like poddu vidunga bro.	Positive 
 Starting Looks like king liar Malayalam movie	Mixed_feelings 
 Good morning Guys  Kaalaila Ezhunthathum Trailer Paakka Vanthavangala Like Podunga	unknown_state 
 Enna Da views ivlo kammiya iruku romba nerama	Positive 
 Dai mokka vetri Mara unaku yethrathamanna kathaiyee eduka theriyatha!?	Mixed_feelings 
 Ethir paartha alavu ila .. sadness	Positive 
 Sema... Thala merattal.... Movie eppo paaka poromnu romba aarvama irukku... Thala...	Positive 
 Ena ipa Trending la varuthu thalaivar eh	Positive 
 Karthi annaaaa vera level acting	Negative 
 National award ah , askar ah ?/... Dhanush fanz like	Positive 
 Padam peru #Sangathamizhan Producer yaru na #BharathiREDDY :/  What an irony!	Negative 
 Anirudh bgmmmmmm Bang bang bang  Petttaaaa paaaraaaaaak	Positive 
 Inga Rajini ya pathi mattum comment pannunga nan Vijay sethupathika papen aniruthuka Papen apdina adichu underwearoda oda vituven....Thalaivar forever	Positive 
 Viswasam Jan 14 thaane? Clash aavathu ninaikkiren.	unknown_state 
 Trailer la Vidya Balan missing.... Why?	Positive 
 Sangar.... Sangar ra etha movie direct pannala	Mixed_feelings 
